nne,0
blakair,1
mssysbit,1
profpoodle,1

absolutemaximum,10
seanconnerypai,0
yallthirsty,10
oxideflamez,2
pancakez,8
lasersaway,0
jnfer,0
nonstopkevn,1
davidj,0
ralphonso,5
silverkill,21
flicette,10
quilavaa,3
lasers,0
toxicblast,1
relativemaximum,0
paperangel,10
callme911,1
indefiniteminimum,1
rotomshave,3

neartokyo,-10
cleanerthanrotomw,1
madasthehatter,1
styley,1
darknessgale7,4
franchescoenzo,0
srmfrot,Infinity
johnnymorgan,26
welikeike,3
titanteatime,7
tachistar,3
qr7,11
kirbysage,1
simsims2800,1
sorryespeonag3,1
yallthirstyaway,10
mrmoosebones,3
jeff7842,1
mrhjjh,1
mrsmonopoly,1
piford,4
evilmonkey9,1
dede69,1

butteredbiscuit,4
dabicboi,0
nineage,0
sbet777,2
raven0513,1
denniniogaming,1
assaultvestmantine,2
hashtagarmcannons,6
prfssrstein,0
retrolight,0
ajackson,1
elitefourenther,2
bandedpyrotoz,2
plox,5
connorthegoodra,5
lokpokwpoek,2
armieunit,3
thepotatofairy,2
kiirochu,2
evilgamer,1
giantsdms,12
sacrisis,7
blazchicken,2
deadpilotroberts,2
jsus,2
cfkkuroh,2
2spoopy4u,6
tjust7896,0
assaultvesttangela,2
rmac97,2
minjee,3
agentanteater,1
retrolightaway,2
xvenomiizz,2
darkwaffle,1
hollowridley,2
simplyju,3
chakra,2
alphazapdos,2
fitemepls,5
littlenugget,2
silverspoonage,2
alcani,2
poormint,69
peppamint,0
absolsweep,2
sse,2
playingud,2
shuuuboopi,2
taranis,1
gogenosmith,1
fluffyeyeball,2
pokefan09,2
omegasupreme,2
goodguytroy,0
in4d,2
defeatistdialga,3
pierceingheavens,3
thebrunobattle,2
korps,1
catatonia,60
evlsoul,4
lawsebax,4
latios1000,4
seenbean,1
tditdatdwt,1
windscythescizor,1
johnnysalinecc,1
theroaringshinies,1
galewingsgliscor,1
doritosandkush,1
sidous,1
cobracorp,1
flamingbidoof92,1
arcanine1204,1
nikolausveruza,Infinity
republicanobama,4
tazildayah,1
ilikemilkywilky,1
otacon50,1
pbou5,1
thedonphanatic,1
rickyparpix,1
prot0pod,1
mccann,1
thehopelessgamer1,1
laurenisfit,1
yigo,1
pranksterturtwig,1
rox0923,2
shinyhunter1001,1
brayleron,1
daviddavidson,1
krimson88,1
wsdfg,1
commmandapanda,1
rowdyrufflet,1
pappu10,1
meer,25
shedinjanigans,10
murderedbyrocks,1
anynoone,1
avstunfisk,1
espeonag3,1
axiaste,1
stealthyshaymin,1
serenepower,1
